land_area_ha,families_affected,current_stage_index,days_in_current_stage,days_since_last_action,days_since_update,award_overdue,pending_approvals,pending_notifications,noc_pending_count,budget_released,has_legal_dispute,num_legal_cases,ownership_conflicts,compensation_pct,compensation_pending_months,rr_completion_pct,documentation_pct,stakeholder_response_pct,possession_pct,land_cost_cr,amount_paid_cr,project_value_cr,district_historical_delay_rate,prev_delayed_district,officer_responsiveness,funding_readiness,notice_delivery_pct,mutation_completion_pct,is_delayed,project_type_code,state_code
1169.13,1891,3,119,74,35,0,4,3,0,1,0,0,2,54.0,34,78.2,78.9,68.9,53.2,11858.5,6403.59,92506.31,0.62,13,5.5,75.7,81.9,0.0,0,0,6
1603.57,1299,3,164,24,11,0,3,1,1,1,0,0,2,55.0,12,49.8,82.2,68.8,67.2,11379.64,6258.8,138597.23,0.62,14,5.6,94.1,96.9,0.0,0,11,10
520.28,1060,0,604,82,100,0,5,2,1,1,0,0,2,61.2,35,52.0,47.6,12.1,2.6,16146.34,9881.56,98543.66,0.53,20,3.4,20.6,34.8,0.0,1,14,3
1724.73,2843,1,344,624,107,0,3,2,7,0,1,15,1,52.9,29,19.4,43.4,37.4,31.5,84928.68,44927.27,496152.81,0.4,12,4.2,55.7,44.6,0.0,1,1,3
1857.52,5000,4,367,233,283,0,11,3,2,1,0,0,0,60.4,24,43.1,72.0,46.9,86.4,4385.38,2648.77,46101.31,0.66,5,4.1,23.5,53.8,86.5,1,5,14
1684.51,3375,2,82,52,44,0,6,2,2,1,0,0,0,85.3,0,51.5,77.9,99.0,38.9,41341.6,35264.38,518901.69,0.54,9,7.2,89.7,87.2,0.0,0,3,14
1014.64,629,1,351,363,329,0,8,4,4,0,0,0,5,10.9,19,35.8,55.0,19.3,39.0,13428.12,1463.67,118947.74,0.37,5,2.9,45.2,64.0,0.0,1,3,9
506.7,260,4,54,63,32,0,3,2,5,1,0,0,1,87.1,0,99.3,94.4,52.6,58.1,10228.11,8908.68,105346.59,0.72,25,4.9,89.8,81.1,89.1,1,1,1
139.45,324,2,93,50,0,0,7,2,5,1,1,12,0,84.9,0,55.3,83.9,67.0,46.6,1928.92,1637.65,30767.81,0.38,18,6.2,93.5,94.3,0.0,1,11,11
771.46,743,4,93,51,0,0,9,5,6,1,1,15,1,86.6,0,81.1,73.3,60.3,94.4,13830.13,11976.89,274411.42,0.63,22,5.0,55.3,75.5,59.0,0,5,13
768.32,1070,5,146,25,28,0,2,1,0,1,1,5,1,63.0,33,75.3,76.3,61.3,75.6,9260.08,5833.85,71571.1,0.43,3,6.0,55.9,69.8,42.6,1,13,9
1595.64,2656,2,165,81,21,0,0,3,3,1,0,0,2,61.2,18,84.8,64.6,81.7,72.1,73407.67,44925.49,1329840.83,0.63,8,7.0,99.6,82.2,0.0,1,10,10
711.11,2272,0,377,404,76,0,12,1,7,1,1,9,0,44.4,32,38.4,62.7,35.8,0.0,25601.91,11367.25,166861.57,0.61,4,2.9,27.7,46.5,0.0,1,4,4
458.58,1133,5,78,65,20,0,4,0,5,1,0,0,1,76.6,30,61.8,71.4,97.2,76.1,3837.79,2939.75,7930.73,0.42,5,6.5,90.4,80.8,55.8,0,10,5
67.1,184,0,876,257,76,0,3,4,4,0,1,10,4,19.9,27,50.3,29.6,33.2,26.3,2166.72,431.18,30908.0,0.59,22,3.7,33.4,45.0,0.0,1,10,14
1672.77,5000,1,1055,235,395,0,2,2,1,1,1,8,2,23.2,31,7.1,46.2,52.6,1.4,68117.36,15803.23,1071648.51,0.59,12,3.0,37.1,51.9,0.0,1,9,6
1583.17,3122,5,141,26,38,0,0,3,4,0,1,9,0,99.4,0,92.7,79.5,79.3,53.2,39513.66,39276.58,120335.16,0.6,16,5.3,89.3,85.1,40.9,1,13,8
1919.17,5000,4,32,80,50,0,11,1,2,1,1,10,1,84.1,0,50.8,97.1,88.2,57.7,54830.85,46112.74,888479.6,0.68,19,5.9,89.3,80.4,38.7,0,11,4
1746.79,1161,4,165,84,55,0,4,3,0,1,1,13,0,79.5,10,63.3,82.3,57.7,62.1,28212.49,22428.93,270078.63,0.44,16,5.7,78.3,89.2,44.6,1,12,3
1680.53,4711,3,545,597,189,0,12,1,5,1,1,6,5,47.9,21,26.4,60.3,26.1,10.5,26726.13,12801.82,525793.86,0.71,7,3.2,13.2,64.4,0.0,1,8,13
1702.41,2033,5,125,74,27,0,1,0,4,1,0,0,1,81.4,0,63.6,97.0,74.4,52.7,75217.18,61226.78,464704.81,0.57,25,5.7,78.1,70.5,99.1,1,8,12
137.46,173,3,163,57,13,0,7,2,5,1,0,0,0,87.9,0,70.4,64.4,51.5,28.8,3057.04,2687.14,11862.2,0.43,17,7.5,87.0,65.5,0.0,1,2,7
354.23,289,2,687,272,308,1,2,4,8,1,0,0,1,77.5,17,32.3,44.2,45.9,28.4,6994.07,5420.4,105532.11,0.47,21,2.9,24.2,24.1,0.0,1,6,0
31.19,33,4,180,38,28,0,1,1,5,1,0,0,0,70.2,36,44.3,92.5,60.8,94.5,1104.41,775.3,7280.96,0.48,23,6.2,68.0,89.4,65.1,0,7,3
852.38,2970,5,127,48,47,0,3,3,5,0,0,0,0,78.8,25,82.4,63.4,75.7,68.9,17956.79,14149.95,176679.24,0.3,3,7.1,72.7,69.6,67.0,1,7,2
1229.37,2956,5,167,60,13,0,0,0,1,0,0,0,2,71.9,28,73.2,95.1,71.9,81.8,17415.1,12521.46,161349.11,0.39,2,7.0,66.0,94.3,62.5,0,6,9
224.54,413,3,173,45,59,0,12,3,8,0,1,4,0,78.4,23,84.1,83.9,94.1,42.5,9902.11,7763.25,164514.35,0.43,3,4.0,93.6,91.7,0.0,1,11,3
1560.08,5000,2,74,29,12,0,7,1,2,1,0,0,1,57.0,35,94.6,65.3,45.0,42.7,57843.69,32970.9,202826.4,0.54,12,5.9,61.7,63.7,0.0,0,6,0
1750.32,924,2,212,574,158,1,10,3,8,0,1,4,1,74.8,28,65.5,78.1,47.8,38.6,8306.7,6213.41,47434.15,0.6,6,5.0,21.4,44.1,0.0,1,13,4
95.45,272,1,590,498,124,0,2,2,2,1,1,5,2,29.8,30,50.3,35.3,34.7,14.9,1291.65,384.91,19014.53,0.64,19,1.7,19.8,29.3,0.0,1,4,13
340.56,1053,5,118,12,20,0,2,0,1,1,0,0,0,70.2,31,42.2,69.2,59.1,92.4,8924.61,6265.08,38527.99,0.57,12,4.3,65.4,99.1,38.5,1,1,0
1701.42,1528,3,50,14,11,0,8,3,4,1,0,0,0,61.2,7,51.5,83.9,65.0,35.2,70956.0,43425.07,667764.64,0.36,4,6.8,77.5,71.9,0.0,0,12,11
538.91,1675,2,453,646,236,1,5,3,4,1,0,0,5,24.9,30,38.2,38.7,50.7,14.2,22539.66,5612.38,82451.72,0.74,21,3.2,28.5,36.6,0.0,1,5,13
125.85,466,3,740,463,325,0,9,3,6,1,1,8,1,61.0,26,50.9,49.9,17.2,8.3,3679.57,2244.54,53019.64,0.71,9,4.3,37.6,37.0,0.0,1,14,14
680.82,535,3,178,34,25,0,3,2,4,1,0,0,2,96.7,0,97.1,88.5,75.1,39.7,25584.95,24740.65,164621.71,0.52,16,6.2,87.9,65.9,0.0,0,2,0
1721.59,4920,3,107,60,30,0,9,2,3,0,1,15,2,82.8,0,81.7,59.0,58.5,66.5,66757.58,55275.28,1266640.12,0.37,16,4.7,98.2,96.2,0.0,0,13,5
799.47,949,4,98,49,37,0,12,2,4,1,0,0,1,69.8,21,78.5,92.7,86.2,95.9,7968.41,5561.95,31554.31,0.31,13,5.7,83.4,72.0,44.0,1,13,2
1438.62,3575,2,53,49,2,0,0,0,4,1,0,0,2,51.3,36,53.5,69.8,78.0,21.7,29300.27,15031.04,437496.26,0.73,16,5.9,89.3,63.3,0.0,1,3,1
550.9,1807,3,19,76,37,0,6,3,2,0,0,0,2,89.9,0,55.9,87.8,97.5,74.5,2760.82,2481.98,25422.24,0.68,28,6.8,84.8,63.3,0.0,0,6,8
1662.43,3258,3,41,37,3,0,2,2,4,1,1,15,2,100.0,0,84.9,58.3,79.1,35.5,74507.25,74507.25,1402347.85,0.43,9,5.6,64.4,67.9,0.0,0,9,3
414.79,996,3,87,2,5,0,1,2,5,1,0,0,1,54.9,6,87.4,60.2,93.2,72.0,3524.81,1935.12,66235.92,0.41,18,6.9,60.4,93.6,0.0,0,12,11
430.19,871,3,707,712,107,0,3,1,2,1,1,7,4,61.6,13,36.3,26.9,45.5,26.3,8284.63,5103.33,133251.92,0.57,8,1.7,15.9,34.2,0.0,1,3,3
1931.79,2220,4,82,17,58,0,1,0,0,1,0,0,1,66.9,21,50.5,84.5,85.7,96.7,45578.58,30492.07,536480.98,0.64,14,6.4,95.9,77.0,84.2,0,14,6
1462.29,2945,2,126,81,30,0,2,3,3,0,0,0,1,60.4,24,86.7,68.3,53.0,28.0,48027.16,29008.4,446253.24,0.61,17,6.1,56.0,61.7,0.0,0,14,13
1911.66,3772,0,646,614,86,0,8,4,2,1,1,12,2,72.3,7,92.6,55.2,38.7,19.4,51704.25,37382.17,110581.85,0.7,11,4.2,16.1,63.5,0.0,1,9,1
559.05,918,2,68,57,49,0,10,3,2,1,1,10,2,79.8,3,40.1,59.2,84.9,62.3,26181.78,20893.06,215908.75,0.46,11,4.2,97.5,97.1,0.0,0,7,10
1401.92,3963,2,299,84,78,1,2,1,6,1,0,0,0,79.9,30,31.5,16.5,51.7,9.7,6058.35,4840.62,48421.33,0.52,19,3.2,56.5,33.1,0.0,1,13,3
1349.9,5000,2,180,71,25,0,3,3,1,0,0,0,1,74.9,36,78.5,98.6,82.1,69.4,42141.14,31563.71,770686.31,0.49,9,6.9,81.8,60.5,0.0,0,14,0
1537.47,3700,5,13,19,57,0,4,2,5,1,0,0,2,50.0,27,76.2,74.3,80.1,52.4,26001.99,13001.0,267158.99,0.42,9,5.7,56.9,76.0,39.4,0,2,3
718.64,1956,1,751,570,184,0,6,4,1,1,1,12,6,47.0,11,38.4,57.4,23.3,21.3,24381.98,11459.53,154264.52,0.61,12,2.5,35.6,58.3,0.0,1,7,4
220.48,522,0,579,523,143,0,4,3,4,1,1,10,0,33.1,32,33.8,33.9,17.3,8.9,1686.18,558.13,27496.38,0.76,17,2.2,52.4,36.1,0.0,1,5,1
872.99,998,2,114,38,13,0,2,0,1,1,0,0,1,72.1,7,69.1,97.8,78.0,74.3,15957.85,11505.61,101065.58,0.39,11,5.1,76.4,99.6,0.0,1,10,7
318.0,209,1,523,305,392,0,3,5,4,1,0,0,1,50.4,10,42.7,59.3,36.3,19.6,7828.23,3945.43,100723.1,0.5,23,3.4,39.1,37.1,0.0,1,6,6
711.03,1847,3,31,17,18,0,5,1,5,1,0,0,2,90.6,0,48.6,55.0,88.7,57.7,16738.3,15164.9,269036.69,0.67,15,5.6,74.8,71.5,0.0,1,0,14
1400.1,1211,3,16,8,4,0,7,3,1,1,0,0,1,71.4,27,82.7,70.3,64.0,53.2,57624.84,41144.14,787388.92,0.42,3,6.7,90.9,85.0,0.0,1,14,5
775.83,2630,2,1139,711,50,1,4,4,4,0,1,4,2,19.1,32,7.4,32.8,17.0,36.5,3605.68,688.68,25777.75,0.55,13,1.6,11.4,57.3,0.0,1,4,14
1407.56,1064,4,36,68,58,0,2,3,4,1,0,0,2,82.9,0,70.1,72.1,78.7,60.1,48292.06,40034.12,455356.54,0.43,11,8.2,78.6,61.6,63.9,0,11,5
865.01,3053,3,838,314,180,0,7,2,6,1,0,0,5,13.8,10,29.3,64.7,24.2,37.2,16956.09,2339.94,177135.36,0.46,17,3.2,39.4,28.0,0.0,1,2,12
16.6,32,5,136,57,56,0,6,1,1,0,0,0,1,69.2,22,91.5,61.4,82.0,87.0,585.26,405.0,7637.64,0.62,11,5.5,67.1,65.5,38.5,1,10,6
925.63,3650,2,196,179,103,1,4,3,4,1,0,0,0,64.3,23,58.3,51.2,30.9,9.2,28456.39,18297.46,125526.22,0.56,22,3.5,48.7,29.7,0.0,1,2,6
1845.45,4076,0,321,265,398,0,10,4,3,0,1,7,3,34.4,15,40.3,57.4,45.3,35.3,76326.6,26256.35,189839.47,0.56,4,3.2,43.8,34.6,0.0,1,13,3
1698.99,4867,2,95,48,23,0,1,1,2,1,0,0,2,58.3,35,76.3,77.4,85.7,56.4,24905.48,14519.89,244760.76,0.56,7,4.9,96.3,71.2,0.0,1,6,12
1861.4,3368,0,533,613,237,0,10,1,1,1,0,0,0,53.9,22,17.5,20.5,25.5,11.4,59720.86,32189.54,185285.17,0.46,9,2.0,29.2,45.4,0.0,1,13,10
918.87,1592,4,19,57,35,0,3,4,1,0,1,11,0,55.2,26,71.0,69.3,60.5,57.7,21499.89,11867.94,395902.19,0.6,25,5.0,84.1,68.2,75.6,1,4,4
174.95,437,1,857,400,219,0,7,1,6,0,1,6,8,22.1,13,9.6,18.3,49.1,25.7,667.47,147.51,5513.3,0.59,29,1.5,22.3,67.6,0.0,1,5,14
288.34,616,1,98,679,226,0,10,4,4,1,1,9,0,14.0,22,32.4,28.4,29.1,0.3,11401.05,1596.15,92776.08,0.41,13,1.6,31.5,48.0,0.0,1,5,12
1887.06,3760,1,1080,289,193,0,2,4,8,1,1,9,7,59.1,1,32.1,43.2,31.2,18.2,70710.64,41789.99,1103229.59,0.52,19,1.8,16.4,56.6,0.0,1,9,6
151.0,512,3,282,517,342,0,12,4,7,1,1,4,4,50.5,32,13.0,48.9,12.3,37.4,5142.13,2596.78,64205.44,0.47,13,2.3,31.7,58.6,0.0,1,13,12
393.57,1269,3,56,58,23,0,5,1,0,0,0,0,1,57.6,19,96.7,99.4,65.9,54.8,15007.55,8644.35,95895.1,0.44,2,7.0,86.2,79.1,0.0,1,11,5
1491.72,1248,4,163,59,31,0,3,2,4,1,0,0,0,71.0,2,70.2,61.1,64.2,95.9,15758.16,11188.29,121898.84,0.58,28,5.7,95.2,84.0,64.3,1,1,8
1969.98,3655,4,47,54,31,0,2,3,1,1,0,0,0,51.1,14,45.5,99.8,72.2,65.5,53518.33,27347.87,361230.18,0.46,6,6.5,85.1,71.6,32.6,0,9,2
1334.75,2428,3,24,83,24,0,1,3,5,1,1,1,2,88.3,0,56.8,92.1,72.3,63.5,65967.91,58249.66,512229.51,0.53,24,6.9,81.9,90.5,0.0,0,13,10
1179.35,861,0,776,345,354,0,5,3,3,1,1,1,4,61.2,35,58.0,23.7,39.0,25.0,3541.98,2167.69,54237.32,0.61,12,3.4,32.2,41.2,0.0,1,9,13
1350.39,2703,2,32,28,27,0,0,2,2,0,0,0,2,65.2,30,93.6,99.2,87.3,60.9,63968.57,41707.51,904398.98,0.52,2,7.3,77.4,68.1,0.0,0,10,3
1336.2,3504,3,905,567,299,0,3,5,3,1,1,14,5,48.9,7,24.3,39.3,31.6,26.3,36562.83,17879.22,703740.54,0.7,14,2.9,55.3,53.3,0.0,1,2,1
372.23,749,2,128,23,30,0,5,1,4,1,0,0,2,50.6,13,66.9,72.9,97.2,34.5,6045.22,3058.88,70356.03,0.41,10,6.2,75.9,77.4,0.0,0,12,12
1066.74,1717,1,233,656,255,0,9,5,3,1,0,0,4,17.5,29,6.6,62.4,27.4,23.6,50644.28,8862.75,422607.93,0.68,6,2.3,14.0,25.7,0.0,1,1,13
527.47,1361,3,14,18,17,0,5,1,3,0,0,0,1,78.1,32,61.0,75.8,47.7,40.4,608.19,475.0,8263.74,0.42,18,4.3,62.7,90.2,0.0,0,12,9
425.59,390,3,374,454,197,0,6,2,8,0,1,15,0,10.8,32,38.3,16.0,16.1,14.5,10105.16,1091.36,164379.53,0.58,3,2.8,34.7,59.1,0.0,1,5,10
515.15,1556,5,150,48,50,0,3,3,7,1,0,0,0,68.1,20,55.2,71.8,59.0,67.7,22544.47,15352.78,125691.73,0.67,14,5.1,68.4,89.7,44.9,1,8,14
1957.38,5000,3,415,357,250,0,10,5,7,1,1,1,2,90.6,0,68.4,78.6,45.3,30.9,60089.92,54441.47,356451.91,0.69,14,4.2,59.8,54.5,0.0,1,6,14
1193.78,2819,5,124,5,43,0,5,5,8,0,1,14,0,52.6,13,56.8,96.3,86.7,95.3,50502.32,26564.22,637603.35,0.45,12,5.3,55.2,82.5,31.9,1,0,0
14.71,58,3,1096,298,210,0,11,3,6,1,1,9,0,65.6,22,53.6,57.9,50.9,7.5,588.04,385.75,8848.77,0.64,8,4.1,38.8,33.7,0.0,1,0,1
1812.69,5000,2,76,43,6,0,5,2,3,1,0,0,2,68.2,15,71.7,79.9,82.2,78.6,72526.13,49462.82,1220495.02,0.61,25,5.2,58.5,86.6,0.0,1,14,8
275.75,317,2,956,547,299,1,12,3,3,1,1,4,3,36.5,25,5.7,57.2,48.1,30.4,3650.31,1332.36,13969.98,0.53,3,2.3,15.9,68.8,0.0,1,3,12
484.8,1583,3,42,42,13,0,5,0,5,1,0,0,1,97.5,0,66.1,77.2,48.3,63.4,10818.46,10548.0,153412.01,0.34,5,7.8,67.6,69.2,0.0,0,12,5
587.05,606,4,43,31,37,0,5,1,6,1,0,0,0,70.0,24,42.8,85.6,75.4,72.1,13851.23,9695.86,178886.05,0.61,30,4.6,56.1,71.4,46.8,1,13,13
1831.13,1457,5,47,2,58,0,1,2,0,1,0,0,0,83.2,0,75.1,76.8,82.3,97.4,85767.05,71358.19,1105470.34,0.38,9,7.5,75.3,94.3,80.4,1,1,11
315.46,265,4,45,3,53,0,7,0,5,1,0,0,0,89.3,0,66.6,85.6,68.9,72.6,173.01,154.5,2349.9,0.47,20,6.6,87.8,74.9,67.9,1,11,0
491.85,1096,5,22,57,29,0,5,3,0,0,0,0,2,97.0,0,78.3,94.6,54.4,63.6,14965.55,14516.58,223568.54,0.49,15,6.1,85.6,71.9,34.5,1,0,10
1331.74,2746,2,70,0,4,0,2,1,4,1,0,0,1,55.0,16,56.8,57.7,75.0,30.1,53145.3,29229.92,272562.43,0.73,12,5.9,94.7,86.9,0.0,0,6,4
1336.79,1070,3,467,498,34,0,12,4,1,0,0,0,3,54.3,1,28.0,40.5,41.8,14.1,6014.52,3265.88,87676.6,0.37,2,4.2,32.8,41.7,0.0,1,12,7
920.26,2164,5,46,53,28,0,4,2,2,1,1,13,2,87.7,0,77.3,90.9,61.7,66.9,37936.59,33270.39,485615.54,0.47,16,5.5,75.1,87.4,64.7,0,10,12
1485.66,4720,2,52,36,19,0,3,3,1,1,0,0,2,60.9,2,62.3,77.2,70.2,61.2,68960.85,41997.16,1083074.75,0.51,14,6.9,68.4,75.6,0.0,0,13,10
835.11,700,5,77,26,59,0,8,3,2,1,0,0,0,68.7,19,70.7,60.1,66.8,69.4,16006.41,10996.4,313489.27,0.43,15,6.7,56.0,75.1,66.3,1,13,7
1459.23,4254,2,108,61,6,0,1,1,1,1,0,0,0,87.3,0,48.7,98.0,99.3,36.8,3884.78,3391.41,26245.59,0.43,20,6.1,58.7,78.1,0.0,1,6,7
1168.86,4630,3,673,650,86,0,10,3,8,1,1,14,7,30.1,29,31.5,51.5,47.6,25.0,3875.44,1166.51,18997.94,0.75,8,2.6,24.0,62.7,0.0,0,4,4
868.17,1930,2,811,532,279,1,4,5,3,0,0,0,5,34.4,16,5.7,35.4,47.3,29.8,32806.47,11285.43,126646.21,0.52,22,2.1,55.7,45.4,0.0,1,13,0
1063.15,4058,5,66,14,21,0,5,2,4,1,1,4,2,91.2,0,70.0,74.2,72.2,71.1,6874.81,6269.83,117397.1,0.36,15,5.6,67.0,61.5,85.1,1,7,9
1554.17,3516,1,387,678,64,0,6,2,6,1,1,14,3,50.8,36,45.5,21.2,31.7,4.2,62993.21,32000.55,205062.88,0.6,9,2.4,41.5,62.2,0.0,1,1,8
1982.96,5000,1,282,385,296,0,10,3,4,0,1,12,2,69.8,17,61.5,59.4,19.4,31.0,60190.44,42012.93,129781.74,0.49,17,4.2,43.1,36.9,0.0,1,13,9
275.54,405,5,140,53,8,0,5,0,1,0,0,0,2,85.1,0,67.7,83.6,94.1,60.8,8617.28,7333.31,47032.86,0.49,2,5.2,60.4,86.3,75.9,0,9,0
1378.25,3222,0,724,617,45,0,2,1,3,0,0,0,0,70.6,16,11.1,26.7,24.1,11.9,67003.88,47304.74,1186442.58,0.5,23,4.0,17.9,34.0,0.0,1,2,10
240.44,739,3,168,44,20,0,6,4,2,1,1,6,1,99.5,0,40.5,91.1,60.7,73.8,5683.8,5655.38,44098.0,0.49,6,4.4,99.6,87.4,0.0,1,3,5
1287.79,2078,3,444,503,307,0,8,4,6,1,1,12,2,79.7,12,42.1,62.8,20.9,9.3,34891.82,27808.78,128362.45,0.57,5,4.4,49.1,29.6,0.0,1,13,14
591.64,1079,3,130,32,51,0,3,1,5,1,0,0,0,63.5,13,52.1,68.5,73.5,51.6,13069.87,8299.37,170186.6,0.53,19,5.2,71.3,71.5,0.0,0,11,12
412.38,1391,2,73,61,30,0,5,2,4,1,0,0,0,98.7,0,91.2,83.5,96.5,72.4,8819.36,8704.71,69511.24,0.38,4,8.0,73.2,61.8,0.0,0,4,5
277.07,631,2,1025,611,73,1,9,5,2,0,0,0,4,54.4,26,40.0,40.8,29.5,18.3,11842.24,6442.18,160635.25,0.77,24,2.4,52.3,51.1,0.0,1,1,13
209.74,392,3,689,453,324,0,2,1,3,0,1,12,5,10.0,22,4.6,51.4,29.0,8.2,7313.12,731.31,142268.13,0.42,18,3.6,35.9,20.9,0.0,1,0,7
1155.35,4412,3,94,89,34,0,3,4,2,1,1,3,2,87.5,0,55.9,63.0,75.9,38.0,2481.67,2171.46,10772.82,0.38,18,5.7,69.6,88.2,0.0,0,5,3
1522.38,2089,2,31,28,51,0,8,2,0,0,0,0,2,70.4,36,92.1,85.2,55.8,71.0,11409.41,8032.22,135622.36,0.42,10,4.6,82.5,68.3,0.0,0,14,9
703.8,1278,4,64,87,34,0,6,3,5,1,0,0,1,66.4,10,43.1,63.7,68.2,70.1,27556.38,18297.44,242368.26,0.65,13,4.5,58.2,98.5,42.8,0,4,6
606.4,2142,2,140,89,54,0,7,2,4,1,0,0,0,83.8,0,93.4,72.5,96.9,74.9,18476.98,15483.71,307584.66,0.45,16,6.9,71.8,70.9,0.0,1,13,0
1501.06,4886,3,1046,551,363,0,4,1,5,0,0,0,3,38.6,30,25.2,38.8,11.1,23.9,26810.8,10348.97,197457.69,0.6,21,2.8,48.8,23.0,0.0,1,6,4
748.34,1309,2,459,311,48,1,8,3,3,1,1,5,4,30.6,34,59.0,55.0,39.5,37.7,16296.56,4986.75,41948.16,0.74,34,3.2,23.0,21.4,0.0,1,8,13
726.54,1434,3,124,64,32,0,1,2,2,1,0,0,2,75.1,26,90.0,99.7,49.8,44.1,3114.52,2339.0,47163.15,0.49,15,7.0,83.9,85.9,0.0,0,8,0
1097.38,1114,4,52,8,20,0,10,5,4,1,0,0,2,56.7,26,60.6,82.0,65.6,50.2,10352.46,5869.84,151960.55,0.58,13,5.8,67.5,79.2,45.7,1,11,8
780.16,478,4,87,58,46,0,2,2,0,1,0,0,0,60.7,6,55.2,88.0,72.5,59.4,23781.25,14435.22,168287.25,0.28,13,5.6,65.2,80.2,85.8,0,13,2
960.74,801,2,99,40,38,0,4,3,4,0,1,6,0,75.3,13,40.5,71.0,65.6,76.1,37375.76,28143.95,320094.92,0.43,5,5.2,69.8,95.1,0.0,1,11,0
663.93,2208,2,1180,285,63,1,3,5,2,1,0,0,1,68.8,23,45.5,23.9,34.2,21.9,23878.64,16428.5,65402.21,0.29,4,3.7,51.0,63.3,0.0,1,9,2
1753.22,4400,1,694,543,130,0,7,2,2,0,1,13,0,92.0,0,84.1,59.6,12.8,11.8,35727.26,32869.08,197913.05,0.36,16,3.8,52.4,67.6,0.0,1,0,9
1425.86,5000,4,93,30,60,0,6,3,2,1,0,0,1,68.0,36,58.2,89.6,62.6,56.0,40122.14,27283.06,783487.59,0.4,4,4.6,82.6,96.2,47.3,1,13,2
1943.54,5000,2,364,223,354,1,10,2,2,1,0,0,6,51.4,6,1.0,59.8,50.0,16.2,14574.74,7491.42,245381.53,0.56,7,3.6,50.5,37.8,0.0,1,7,3
1060.51,2873,3,151,16,54,0,5,3,0,1,0,0,2,54.3,1,40.7,80.6,52.7,62.2,8819.29,4788.87,22481.25,0.53,24,5.6,67.0,73.6,0.0,1,10,9
594.01,684,3,179,76,274,0,10,4,1,0,1,11,8,63.1,2,42.4,22.4,38.4,6.9,27798.18,17540.65,146627.61,0.58,15,2.9,23.2,67.7,0.0,0,1,4
1944.24,4949,5,145,28,15,0,6,1,4,1,1,12,1,60.2,7,94.0,69.8,91.3,72.1,85670.28,51573.51,707354.24,0.74,32,5.5,58.3,75.6,92.3,1,14,13
1736.93,4248,2,63,65,35,0,0,1,5,1,0,0,2,63.9,29,94.2,58.6,76.8,63.8,74537.7,47629.59,848164.28,0.5,12,6.6,62.6,88.7,0.0,1,13,9
470.55,960,3,896,286,199,0,11,3,5,1,0,0,1,97.9,0,64.5,64.7,48.1,34.6,17917.32,17541.06,166133.3,0.75,23,5.4,29.0,53.0,0.0,1,7,1
1812.94,5000,4,118,54,14,0,8,2,3,1,0,0,1,76.3,10,54.7,64.4,69.0,82.0,45990.48,35090.74,597628.5,0.38,9,6.0,76.6,70.8,48.2,0,10,11
1794.96,5000,2,1168,711,346,1,3,1,3,0,0,0,2,65.4,32,16.5,50.4,53.4,17.1,29616.68,19369.31,123365.5,0.77,9,3.1,34.7,32.9,0.0,1,4,1
1774.01,4683,0,315,248,118,0,7,5,4,1,0,0,3,66.1,1,54.8,17.5,53.0,33.5,8426.8,5570.11,128553.76,0.62,28,4.5,56.1,27.2,0.0,1,5,6
823.37,552,0,507,341,221,0,10,1,5,0,0,0,1,82.7,0,43.0,58.7,38.5,22.1,3345.75,2766.94,58142.38,0.52,17,4.8,49.7,46.3,0.0,1,4,7
493.87,513,2,171,17,44,0,2,3,1,1,0,0,1,74.2,18,95.9,92.1,67.2,43.7,17280.42,12822.07,281317.46,0.62,5,4.5,61.9,81.2,0.0,1,7,6
1962.32,5000,1,881,151,232,0,10,2,5,0,0,0,3,43.4,2,40.4,37.7,49.4,8.7,59975.03,26029.16,549249.48,0.5,11,2.4,10.1,48.1,0.0,1,7,3
1876.63,4926,2,119,26,36,0,2,2,4,1,0,0,1,53.4,18,57.9,90.7,78.2,52.5,49244.02,26296.31,694998.06,0.55,25,5.9,76.4,77.6,0.0,1,0,6
1227.45,3400,1,95,238,87,0,8,5,5,1,0,0,4,23.4,28,32.2,47.9,14.6,30.7,52780.95,12350.74,156644.74,0.45,22,2.1,27.3,38.0,0.0,1,2,3
912.43,1186,4,103,22,6,0,7,1,4,1,0,0,0,83.2,0,89.1,84.7,83.2,66.8,11953.6,9945.4,71942.91,0.65,29,5.8,72.7,73.2,72.2,0,2,13
40.22,129,0,408,472,365,0,12,4,5,1,0,0,5,39.2,20,50.0,33.1,32.6,25.1,254.15,99.63,1393.12,0.38,6,3.2,49.4,51.9,0.0,1,1,7
1434.05,1994,0,1151,408,341,0,7,5,8,1,0,0,7,53.2,16,58.5,21.2,25.7,37.6,27184.9,14462.37,429480.59,0.29,9,1.8,51.2,25.0,0.0,1,4,2
922.72,3014,3,38,90,25,0,1,3,2,1,1,9,1,85.0,0,50.7,78.8,62.3,54.7,36114.69,30697.49,504250.8,0.45,18,5.9,85.5,74.1,0.0,1,7,11
120.3,114,2,478,136,237,1,11,1,8,0,1,13,1,68.0,15,48.1,56.0,43.9,36.4,1905.48,1295.73,20703.0,0.56,24,2.3,52.6,66.1,0.0,1,7,6
1042.72,602,3,109,46,46,0,5,3,4,1,0,0,0,83.2,0,94.9,85.3,57.6,30.4,44383.52,36927.09,233747.82,0.72,22,4.7,76.2,83.7,0.0,0,0,14
211.85,706,3,95,82,24,0,1,3,2,1,0,0,2,53.8,11,59.3,62.2,65.8,43.7,8057.09,4334.71,62301.59,0.56,25,5.6,96.2,88.0,0.0,0,5,3
